"ET_ID";"Id";"ET_Index";"Temp_21";"Prec_21";"BIO12_Prec";"X_cen";"Y_cen";"R_Odonata";"R_Lotic";"R_Lentic";"Temp_0";"Prec_0";"vart";"varp";"H_Lent";"H_Lot"
1161;0;"10--11";12.3489;189.488;534.093;2775000;1825000;50;14;36;16;534.667;3.6511;345.179;16650000;285967
1162;0;"10--12";12.9469;193.71;563.746;2825000;1825000;40;11;29;15.6;608.8;2.6531;415.09;260000;263246
1163;0;"10--13";14.1167;183.71;631.138;2875000;1825000;40;7;33;14.6667;575.333;0.550000000000001;391.623;124730000;251672
1164;0;"10--14";15.0955;153.136;632.884;2925000;1825000;43;11;32;14;473.25;-1.0955;320.114;12780000;95669
1165;0;"10--15";14.8388;169.286;624.981;2975000;1825000;42;11;31;14;483;-0.838800000000001;313.714;6810000;176503
1166;0;"10--16";14.9114;163.498;599.306;3025000;1825000;40;10;30;13.25;524.5;-1.6614;361.002;15980000;219636
1167;0;"10--17";14.8112;152.359;556.352;3075000;1825000;38;11;27;13;497.25;-1.8112;344.891;7620000;212224
1168;0;"10--18";14.7406;142.282;495.951;3125000;1825000;38;12;26;13;505.5;-1.7406;363.218;34470000;203837
1169;0;"10--19";14.7459;120.87;462.56;3175000;1825000;39;11;28;12.75;614;-1.9959;493.13;7680000;275194
1170;0;"10--20";14.8012;94.355;479.514;3225000;1825000;31;7;24;11.6;626.2;-3.2012;531.845;2010000;130292
1171;0;"10--21";13.6633;110.314;428.114;3275000;1825000;33;9;24;11.5;553;-2.1633;442.686;910000;163721
1172;0;"10--22";13.4847;87.9221;443.078;3325000;1825000;34;10;24;12;547.75;-1.4847;459.8279;5750000;0
1173;0;"10--23";13.2808;80.7004;459.885;3375000;1825000;49;14;35;13.8;477.8;0.519200000000001;397.0996;6700000;73061
1174;0;"10--24";13.1018;73.2688;491.958;3425000;1825000;52;15;37;15.5;415.5;2.3982;342.2312;30900000;205010
1202;0;"10--52";13.5543;193.458;913.218;4825000;1825000;31;6;25;14.6667;1260.67;1.1124;1067.212;0;0
1203;0;"10--53";13.511;193.758;884.706;4875000;1825000;43;8;35;14;1328.17;0.489000000000001;1134.412;20750000;218162
1204;0;"10--54";13.0279;212.34;736.832;4925000;1825000;42;8;34;14;1249.5;0.972099999999999;1037.16;290000;100429
1210;0;"10--60";13.6211;179.888;1052.76;5225000;1825000;35;7;28;15.8;1354.8;2.1789;1174.912;0;5816
1211;0;"10--61";13.6321;176.737;982.348;5275000;1825000;43;8;35;15.3333;1341.33;1.7012;1164.593;34590000;106421
1212;0;"10--62";13.6976;169.713;929.363;5325000;1825000;41;7;34;14;1438;0.3024;1268.287;112650000;328656
1214;0;"10--64";14.7351;118.222;698.635;5425000;1825000;41;9;32;14.8;826;0.0649000000000015;707.778;890000;245977
1215;0;"10--65";14.7363;117.727;573.551;5475000;1825000;40;10;30;15.3333;679;0.597;561.273;32910000;185327
1216;0;"10--66";14.5982;123.125;527.374;5525000;1825000;36;9;27;15.5;685.75;0.9018;562.625;830000;147479
1217;0;"10--67";14.3318;134.981;475.657;5575000;1825000;36;9;27;16.5;590.167;2.1682;455.186;4730000;24019
1274;0;"11--9";12.5145;199.711;605.615;2675000;1875000;33;3;30;16;619;3.4855;419.289;1240000;51909
1275;0;"11--10";12.3743;194.364;576.191;2725000;1875000;36;5;31;16;650.6;3.6257;456.236;27140000;251022
1276;0;"11--11";12.3485;225.223;573.758;2775000;1875000;35;7;28;16;555.5;3.6515;330.277;87570000;175372
1277;0;"11--12";12.483;230.993;553.279;2825000;1875000;34;7;27;15.8;635.2;3.317;404.207;151300000;254947
1278;0;"11--13";12.9375;233.529;573.751;2875000;1875000;36;5;31;15;552.8;2.0625;319.271;59290000;103493
1279;0;"11--14";14.0904;206.255;553.994;2925000;1875000;38;6;32;14.3333;432.667;0.242899999999999;226.412;93920000;253741
1281;0;"11--16";13.6217;225.09;513.542;3025000;1875000;35;9;26;13.5;467;-0.121700000000001;241.91;88580000;320771
1282;0;"11--17";13.6319;212.748;485.626;3075000;1875000;35;10;25;13;490.25;-0.6319;277.502;4510000;234884
1283;0;"11--18";13.8365;178.558;435.977;3125000;1875000;34;9;25;13;463.4;-0.836499999999999;284.842;114330000;195609
1284;0;"11--19";13.8455;155.087;429.47;3175000;1875000;35;9;26;13;503.25;-0.845499999999999;348.163;5990000;163201
1285;0;"11--20";13.7455;127.371;438.044;3225000;1875000;30;6;24;12.6667;500.333;-1.0788;372.962;4860000;213801
